Barcelona,Real Madrid,Atlético Madrid,Villarreal,Real Betis,Celta Vigo,Espanyol,Real Sociedad,Getafe,Athletic Club,Osasuna,Valencia,Rayo Vallecano,Sevilla,Girona,Alavés,Elche,Mallorca,Levante,Real Oviedo
8542.0,1456.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1448.0,8369.0,82.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,166.0,4515.0,5303.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,5303.0,4539.0,118.0,29.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,94.0,51.0,6582.0,2502.0,103.0,456.0,53.0,35.0,114.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4.0,5.0,2265.0,4624.0,470.0,1441.0,298.0,219.0,533.0,36.0,88.0,3.0,12.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,1.0,0.0,716.0,1790.0,1256.0,2817.0,864.0,563.0,1445.0,131.0,306.0,50.0,50.0,3.0,1.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,218.0,635.0,1782.0,1966.0,1385.0,956.0,1820.0,284.0,631.0,137.0,145.0,7.0,21.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,66.0,253.0,1655.0,1268.0,1671.0,1385.0,1590.0,446.0,962.0,303.0,289.0,31.0,62.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,22.0,107.0,1469.0,834.0,1625.0,1430.0,1367.0,702.0,1259.0,473.0,437.0,46.0,147.0,82.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,46.0,1188.0,508.0,1340.0,1520.0,1081.0,1019.0,1394.0,693.0,719.0,102.0,227.0,151.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,828.0,354.0,1108.0,1324.0,832.0,1224.0,1398.0,976.0,981.0,214.0,452.0,287.0,13.0,0.0
0.0,0.0,0.0,0.0,1.0,2.0,599.0,179.0,774.0,1040.0,511.0,1365.0,1335.0,1404.0,1208.0,366.0,725.0,468.0,23.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,361.0,99.0,470.0,734.0,357.0,1430.0,1013.0,1602.0,1429.0,683.0,1074.0,700.0,45.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,174.0,51.0,259.0,445.0,201.0,1303.0,756.0,1667.0,1572.0,1064.0,1373.0,1009.0,124.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,85.0,20.0,105.0,226.0,95.0,1079.0,455.0,1324.0,1382.0,1637.0,1784.0,1530.0,273.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,36.0,95.0,38.0,651.0,265.0,874.0,1057.0,2255.0,1927.0,2058.0,684.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,26.0,15.0,290.0,108.0,407.0,613.0,2608.0,1580.0,2484.0,1704.0,148.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,38.0,25.0,84.0,105.0,923.0,600.0,1109.0,6094.0,1018.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,27.0,81.0,1034.0,8796.0
