Internazionale,AC Milan,Napoli,Como,Juventus,AS Roma,Atalanta,Lazio,Bologna,Sassuolo,Udinese,Parma,Genoa,Torino,Cagliari,Fiorentina,Cremonese,Lecce,Hellas Verona,Pisa
9695.0,224.0,62.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277.0,5887.0,2467.0,1272.0,81.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,2441.0,3658.0,3248.0,446.0,179.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1119.0,2643.0,3725.0,1646.0,821.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,288.0,900.0,1282.0,4515.0,2707.0,307.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,37.0,265.0,427.0,2803.0,5183.0,1277.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,5.0,27.0,506.0,1073.0,7943.0,327.0,85.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3.0,21.0,381.0,6237.0,1839.0,867.0,632.0,0.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,42.0,2114.0,3910.0,2214.0,1580.0,10.0,65.0,57.0,3.0,4.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,952.0,2630.0,3169.0,2630.0,54.0,269.0,244.0,24.0,22.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,1316.0,2691.0,3637.0,212.0,806.0,750.0,93.0,155.0,3.0,8.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,192.0,700.0,1041.0,1129.0,3005.0,2316.0,590.0,894.0,34.0,70.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,237.0,335.0,1893.0,2415.0,2301.0,1070.0,1371.0,141.0,209.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0,98.0,2410.0,1621.0,1816.0,1517.0,1793.0,286.0,379.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,2164.0,1010.0,1319.0,2046.0,2088.0,628.0,696.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,1574.0,532.0,850.0,2462.0,1956.0,1277.0,1332.0,0.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,209.0,270.0,1508.0,1187.0,3268.0,3053.0,1.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,60.0,65.0,683.0,528.0,4227.0,4140.0,26.0,190.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,130.0,112.0,3566.0,6186.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6407.0,3589.0
